2015-07-11,Crash And Burn,Thomas Rhett
2015-07-11,Baby Be My Love Song,Easton Corbin
2015-07-11,Commas,Future
2015-07-11,One Hell Of An Amen,Brantley Gilbert
2015-07-11,Wet Dreamz,J. Cole
2015-07-11,Loving You Easy,Zac Brown Band
2015-07-11,One Last Time,Ariana Grande
2015-07-11,Buy Me A Boat,Chris Janson
2015-07-11,Renegades,X Ambassadors
2015-07-11,Planez,Jeremih Featuring J. Cole
2015-07-11,No Sleeep,Janet Featuring J. Cole
2015-07-11,Sippin' On Fire,Florida Georgia Line
2015-07-11,Crushin' It,Brad Paisley
2015-07-11,Kiss You In The Morning,Michael Ray
2015-07-11,The Matrimony,Wale Featuring Usher
2015-07-11,Don't It,Billy Currington
2015-07-11,I Really Like You,Carly Rae Jepsen
2015-07-11,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White
2015-07-11,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
2015-07-11,"John Cougar, John Deere, John 3:16",Keith Urban
2015-07-11,Ghost Town,Adam Lambert
2015-07-11,Hell Of A Night,Dustin Lynch
2015-07-11,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
2015-07-11,Young & Crazy,Frankie Ballard
2015-07-11,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
2015-07-11,Energy,Drake
2015-07-11,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
2015-07-11,Smoke,A Thousand Horses
2015-07-11,This Could Be Us,Rae Sremmurd
2015-07-11,Lose My Mind,Brett Eldredge
2015-07-11,Know Yourself,Drake
2015-07-11,Flashlight,Jessie J
2015-07-11,Wild Child,Kenny Chesney With Grace Potter
2015-07-11,Good Thing,Sage The Gemini Featuring Nick Jonas
2015-07-11,Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B
2015-07-11,I Need Your Love,"Shaggy Featuring Mohombi, Faydee, Costi"
2015-07-11,Yoga,Janelle Monae & Jidenna
2015-07-11,Beautiful Now,Zedd Featuring Jon Bellion
2015-07-11,B**** I'm Madonna,Madonna Featuring Nicki Minaj
2015-07-11,Real Life,Jake Owen
2015-07-11,Pretty Girls,Britney Spears & Iggy Azalea
2015-07-11,Tear In My Heart,twenty one pilots
2015-07-11,Like I Can,Sam Smith
2015-07-11,Check,Young Thug
2015-07-18,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-07-18,Cheerleader,OMI
2015-07-18,Watch Me,Silento
2015-07-18,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-07-18,Trap Queen,Fetty Wap
2015-07-18,Can't Feel My Face,The Weeknd
2015-07-18,Shut Up And Dance,WALK THE MOON
2015-07-18,Where Are U Now,Skrillex & Diplo With Justin Bieber
2015-07-18,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
2015-07-18,Fight Song,Rachel Platten
2015-07-18,"Honey, I'm Good.",Andy Grammer
2015-07-18,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-07-18,Want To Want Me,Jason Derulo
2015-07-18,Worth It,Fifth Harmony Featuring Kid Ink
2015-07-18,B**** Better Have My Money,Rihanna
2015-07-18,Earned It (Fifty Shades Of Grey),The Weeknd
2015-07-18,Good For You,Selena Gomez Featuring A$AP Rocky
2015-07-18,Lean On,Major Lazer & DJ Snake Featuring MO
2015-07-18,The Hills,The Weeknd
2015-07-18,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
2015-07-18,Sugar,Maroon 5
2015-07-18,Talking Body,Tove Lo
2015-07-18,You Know You Like It,DJ Snake & AlunaGeorge
2015-07-18,Thinking Out Loud,Ed Sheeran
2015-07-18,Photograph,Ed Sheeran
2015-07-18,Classic Man,Jidenna Featuring Roman GianArthur
2015-07-18,This Summer's Gonna Hurt...,Maroon 5
2015-07-18,Love Me Like You Do,Ellie Goulding
2015-07-18,Flex (Ooh Ooh Ooh),Rich Homie Quan
2015-07-18,Nasty Freestyle,T-Wayne
2015-07-18,Girl Crush,Little Big Town
2015-07-18,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
2015-07-18,Elastic Heart,Sia
2015-07-18,679,Fetty Wap Featuring Remy Boyz
2015-07-18,Slow Motion,Trey Songz
2015-07-18,Cool For The Summer,Demi Lovato
2015-07-18,Take Your Time,Sam Hunt
2015-07-18,Kick The Dust Up,Luke Bryan
2015-07-18,Sangria,Blake Shelton
2015-07-18,Fun,Pitbull Featuring Chris Brown
2015-07-18,The Night Is Still Young,Nicki Minaj
2015-07-18,Uma Thurman,Fall Out Boy
2015-07-18,Be Real,Kid Ink Featuring DeJ Loaf
2015-07-18,Somebody,Natalie La Rose Featuring Jeremih
2015-07-18,House Party,Sam Hunt
2015-07-18,Shake It Off,Taylor Swift
2015-07-18,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
2015-07-18,Style,Taylor Swift
2015-07-18,Budapest,George Ezra
2015-07-18,Blank Space,Taylor Swift
2015-07-18,Love You Like That,Canaan Smith
2015-07-18,Tonight Looks Good On You,Jason Aldean
2015-07-18,Crash And Burn,Thomas Rhett
2015-07-18,Like A Wrecking Ball,Eric Church
2015-07-18,Love Me Like You Mean It,Kelsea Ballerini
2015-07-18,Baby Be My Love Song,Easton Corbin
2015-07-18,R.I.C.O.,Meek Mill Featuring Drake
2015-07-18,Buy Me A Boat,Chris Janson
2015-07-18,Bright,Echosmith
2015-07-18,One Hell Of An Amen,Brantley Gilbert
2015-07-18,Loving You Easy,Zac Brown Band
2015-07-18,Stitches,Shawn Mendes
2015-07-18,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White
2015-07-18,Commas,Future
2015-07-18,Little Toy Guns,Carrie Underwood
2015-07-18,Kiss You In The Morning,Michael Ray
2015-07-18,Planez,Jeremih Featuring J. Cole
2015-07-18,Wet Dreamz,J. Cole
2015-07-18,Renegades,X Ambassadors
2015-07-18,Crushin' It,Brad Paisley
2015-07-18,The Matrimony,Wale Featuring Usher
2015-07-18,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
2015-07-18,"John Cougar, John Deere, John 3:16",Keith Urban
2015-07-18,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn
2015-07-18,Hell Of A Night,Dustin Lynch
2015-07-18,Young & Crazy,Frankie Ballard
2015-07-18,Sippin' On Fire,Florida Georgia Line
2015-07-18,This Could Be Us,Rae Sremmurd
2015-07-18,Yoga,Janelle Monae & Jidenna
2015-07-18,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
2015-07-18,Lose My Mind,Brett Eldredge
2015-07-18,Alright,Kendrick Lamar
2015-07-18,Don't It,Billy Currington
2015-07-18,Play No Games,Big Sean Featuring Chris Brown & Ty Dolla $ign
2015-07-18,Ghost Town,Adam Lambert
2015-07-18,Do It Again,Pia Mia Featuring Chris Brown & Tyga
2015-07-18,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
2015-07-18,Real Life,Jake Owen
2015-07-18,Coffee,Miguel
2015-07-18,I Really Like You,Carly Rae Jepsen
2015-07-18,Good Thing,Sage The Gemini Featuring Nick Jonas
2015-07-18,Smoke,A Thousand Horses
2015-07-18,Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B
2015-07-18,Know Yourself,Drake
2015-07-18,Flashlight,Jessie J
2015-07-18,Bad For You,Meek Mill Featuring Nicki Minaj
2015-07-18,Beautiful Now,Zedd Featuring Jon Bellion
2015-07-18,My Way,Fetty Wap Featuring Monty
2015-07-18,Tear In My Heart,twenty one pilots
2015-07-18,Brother,NEEDTOBREATHE Featuring Gavin DeGraw
2015-07-25,Cheerleader,OMI
2015-07-25,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-07-25,Can't Feel My Face,The Weeknd
2015-07-25,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-07-25,Watch Me,Silento
2015-07-25,Trap Queen,Fetty Wap
2015-07-25,Shut Up And Dance,WALK THE MOON
2015-07-25,Fight Song,Rachel Platten
2015-07-25,Where Are U Now,Skrillex & Diplo With Justin Bieber
2015-07-25,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
2015-07-25,"Honey, I'm Good.",Andy Grammer
2015-07-25,The Hills,The Weeknd
2015-07-25,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-07-25,Worth It,Fifth Harmony Featuring Kid Ink
2015-07-25,Good For You,Selena Gomez Featuring A$AP Rocky
2015-07-25,Want To Want Me,Jason Derulo
2015-07-25,Lean On,Major Lazer & DJ Snake Featuring MO
2015-07-25,Earned It (Fifty Shades Of Grey),The Weeknd
2015-07-25,679,Fetty Wap Featuring Remy Boyz
2015-07-25,Sugar,Maroon 5
2015-07-25,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
2015-07-25,B**** Better Have My Money,Rihanna
2015-07-25,Talking Body,Tove Lo
2015-07-25,Photograph,Ed Sheeran
2015-07-25,You Know You Like It,DJ Snake & AlunaGeorge
2015-07-25,Thinking Out Loud,Ed Sheeran
2015-07-25,Girl Crush,Little Big Town
2015-07-25,Cool For The Summer,Demi Lovato
2015-07-25,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
2015-07-25,Classic Man,Jidenna Featuring Roman GianArthur
2015-07-25,Flex (Ooh Ooh Ooh),Rich Homie Quan
2015-07-25,This Summer's Gonna Hurt...,Maroon 5
2015-07-25,Love Me Like You Do,Ellie Goulding
2015-07-25,Kick The Dust Up,Luke Bryan
2015-07-25,Elastic Heart,Sia
2015-07-25,Nasty Freestyle,T-Wayne
2015-07-25,Take Your Time,Sam Hunt
2015-07-25,Slow Motion,Trey Songz
2015-07-25,Uma Thurman,Fall Out Boy
2015-07-25,Sangria,Blake Shelton
2015-07-25,House Party,Sam Hunt
2015-07-25,Fun,Pitbull Featuring Chris Brown
2015-07-25,R.I.C.O.,Meek Mill Featuring Drake
2015-07-25,The Night Is Still Young,Nicki Minaj
2015-07-25,Be Real,Kid Ink Featuring DeJ Loaf
2015-07-25,Love You Like That,Canaan Smith
2015-07-25,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas
2015-07-25,Style,Taylor Swift
2015-07-25,Somebody,Natalie La Rose Featuring Jeremih
2015-07-25,Shake It Off,Taylor Swift
2015-07-25,Crash And Burn,Thomas Rhett
2015-07-25,Like A Wrecking Ball,Eric Church
2015-07-25,Tonight Looks Good On You,Jason Aldean
2015-07-25,Buy Me A Boat,Chris Janson
2015-07-25,Stitches,Shawn Mendes
2015-07-25,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White
2015-07-25,One Hell Of An Amen,Brantley Gilbert
2015-07-25,Loving You Easy,Zac Brown Band
2015-07-25,Renegades,X Ambassadors
2015-07-25,Bright,Echosmith
2015-07-25,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
2015-07-25,Love Me Like You Mean It,Kelsea Ballerini
2015-07-25,Baby Be My Love Song,Easton Corbin
2015-07-25,Planez,Jeremih Featuring J. Cole
2015-07-25,"John Cougar, John Deere, John 3:16",Keith Urban
2015-07-25,Kiss You In The Morning,Michael Ray
2015-07-25,Commas,Future
2015-07-25,Crushin' It,Brad Paisley
2015-07-25,Wet Dreamz,J. Cole
2015-07-25,This Could Be Us,Rae Sremmurd
2015-07-25,The Matrimony,Wale Featuring Usher
2015-07-25,Hell Of A Night,Dustin Lynch
2015-07-25,Little Toy Guns,Carrie Underwood
2015-07-25,Lose My Mind,Brett Eldredge
2015-07-25,Love Is Your Name,Steven Tyler
2015-07-25,Young & Crazy,Frankie Ballard
2015-07-25,Do It Again,Pia Mia Featuring Chris Brown & Tyga
2015-07-25,Bad For You,Meek Mill Featuring Nicki Minaj
2015-07-25,Real Life,Jake Owen
2015-07-25,Ghost Town,Adam Lambert
2015-07-25,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
2015-07-25,Yoga,Janelle Monae & Jidenna
2015-07-25,Diamond Rings And Old Barstools,Tim McGraw With Catherine Dunn
2015-07-25,Good Thing,Sage The Gemini Featuring Nick Jonas
2015-07-25,Sippin' On Fire,Florida Georgia Line
2015-07-25,Alright,Kendrick Lamar
2015-07-25,Don't It,Billy Currington
2015-07-25,Lord Knows,Meek Mill
2015-07-25,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
2015-07-25,Beautiful Now,Zedd Featuring Jon Bellion
2015-07-25,Jump Out The Face,Meek Mill Featuring Future
2015-07-25,I Really Like You,Carly Rae Jepsen
2015-07-25,Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B
2015-07-25,Smoke,A Thousand Horses
2015-07-25,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
2015-07-25,Ex's & Oh's,Elle King
2015-07-25,Tear In My Heart,twenty one pilots
2015-07-25,Brother,NEEDTOBREATHE Featuring Gavin DeGraw
2015-07-25,Break Up With Him,Old Dominion
2015-07-25,I'm Comin' Over,Chris Young
2015-08-01,Cheerleader,OMI
2015-08-01,Can't Feel My Face,The Weeknd
2015-08-01,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-08-01,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-08-01,Watch Me,Silento
2015-08-01,Trap Queen,Fetty Wap
2015-08-01,Shut Up And Dance,WALK THE MOON
2015-08-01,Fight Song,Rachel Platten
2015-08-01,Lean On,Major Lazer & DJ Snake Featuring MO
2015-08-01,The Hills,The Weeknd
2015-08-01,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
2015-08-01,Where Are U Now,Skrillex & Diplo With Justin Bieber
2015-08-01,"Honey, I'm Good.",Andy Grammer
2015-08-01,Worth It,Fifth Harmony Featuring Kid Ink
2015-08-01,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-08-01,Good For You,Selena Gomez Featuring A$AP Rocky
2015-08-01,Want To Want Me,Jason Derulo
2015-08-01,679,Fetty Wap Featuring Remy Boyz
2015-08-01,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
2015-08-01,Sugar,Maroon 5
2015-08-01,Photograph,Ed Sheeran
2015-08-01,Earned It (Fifty Shades Of Grey),The Weeknd
2015-08-01,B**** Better Have My Money,Rihanna
2015-08-01,Thinking Out Loud,Ed Sheeran
2015-08-01,Girl Crush,Little Big Town
2015-08-01,Talking Body,Tove Lo
2015-08-01,Classic Man,Jidenna Featuring Roman GianArthur
2015-08-01,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
2015-08-01,Flex (Ooh Ooh Ooh),Rich Homie Quan
2015-08-01,You Know You Like It,DJ Snake & AlunaGeorge
2015-08-01,Cool For The Summer,Demi Lovato
2015-08-01,Love Me Like You Do,Ellie Goulding
2015-08-01,Elastic Heart,Sia
2015-08-01,Nasty Freestyle,T-Wayne
2015-08-01,Slow Motion,Trey Songz
2015-08-01,Uma Thurman,Fall Out Boy
2015-08-01,Kick The Dust Up,Luke Bryan
2015-08-01,Take Your Time,Sam Hunt
2015-08-01,House Party,Sam Hunt
2015-08-01,Fun,Pitbull Featuring Chris Brown
2015-08-01,This Summer's Gonna Hurt...,Maroon 5
2015-08-01,Sangria,Blake Shelton
2015-08-01,Somebody,Natalie La Rose Featuring Jeremih
2015-08-01,Be Real,Kid Ink Featuring DeJ Loaf
2015-08-01,R.I.C.O.,Meek Mill Featuring Drake
2015-08-01,Tonight Looks Good On You,Jason Aldean
2015-08-01,Shake It Off,Taylor Swift
2015-08-01,Style,Taylor Swift
2015-08-01,Crash And Burn,Thomas Rhett
2015-08-01,One Hell Of An Amen,Brantley Gilbert
2015-08-01,Love You Like That,Canaan Smith
2015-08-01,Like A Wrecking Ball,Eric Church
2015-08-01,Buy Me A Boat,Chris Janson
2015-08-01,The Night Is Still Young,Nicki Minaj
2015-08-01,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
2015-08-01,Loving You Easy,Zac Brown Band
2015-08-01,Stitches,Shawn Mendes
2015-08-01,Renegades,X Ambassadors
2015-08-01,Planez,Jeremih Featuring J. Cole
2015-08-01,Kiss You In The Morning,Michael Ray
2015-08-01,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White
2015-08-01,"John Cougar, John Deere, John 3:16",Keith Urban
2015-08-01,This Could Be Us,Rae Sremmurd
2015-08-01,Commas,Future
2015-08-01,Young & Crazy,Frankie Ballard
2015-08-01,Crushin' It,Brad Paisley
2015-08-01,Bright,Echosmith
2015-08-01,Hell Of A Night,Dustin Lynch
2015-08-01,Lose My Mind,Brett Eldredge
2015-08-01,Wet Dreamz,J. Cole
2015-08-01,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
2015-08-01,Baby Be My Love Song,Easton Corbin
2015-08-01,Love Me Like You Mean It,Kelsea Ballerini
2015-08-01,Ghost Town,Adam Lambert
2015-08-01,The Matrimony,Wale Featuring Usher
2015-08-01,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
2015-08-01,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
2015-08-01,Good Thing,Sage The Gemini Featuring Nick Jonas
2015-08-01,Real Life,Jake Owen
2015-08-01,Kings Never Die,Eminem Featuring Gwen Stefani
2015-08-01,Do It Again,Pia Mia Featuring Chris Brown & Tyga
2015-08-01,Don't It,Billy Currington
2015-08-01,Beautiful Now,Zedd Featuring Jon Bellion
2015-08-01,Yoga,Janelle Monae & Jidenna
2015-08-01,Sippin' On Fire,Florida Georgia Line
2015-08-01,Little Toy Guns,Carrie Underwood
2015-08-01,My Way,Fetty Wap Featuring Monty
2015-08-01,Alright,Kendrick Lamar
2015-08-01,Break Up With Him,Old Dominion
2015-08-01,Should've Been Us,Tori Kelly
2015-08-01,Ex's & Oh's,Elle King
2015-08-01,Fly,Maddie & Tae
2015-08-01,I Really Like You,Carly Rae Jepsen
2015-08-01,Burning House,Cam
2015-08-01,Tear In My Heart,twenty one pilots
2015-08-01,Lord Knows,Meek Mill
2015-08-01,I'm Comin' Over,Chris Young
2015-08-01,Jump Out The Face,Meek Mill Featuring Future
2015-08-01,Hood Go Crazy,Tech N9Ne Featuring 2 Chainz & B.o.B
2015-08-01,One Man Can Change The World,Big Sean Featuring Kanye West & John Legend
2015-08-08,Cheerleader,OMI
2015-08-08,Can't Feel My Face,The Weeknd
2015-08-08,Watch Me,Silento
2015-08-08,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-08-08,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-08-08,Trap Queen,Fetty Wap
2015-08-08,My Way,Fetty Wap Featuring Monty
2015-08-08,Fight Song,Rachel Platten
2015-08-08,Shut Up And Dance,WALK THE MOON
2015-08-08,Lean On,Major Lazer & DJ Snake Featuring MO
2015-08-08,The Hills,The Weeknd
2015-08-08,Worth It,Fifth Harmony Featuring Kid Ink
2015-08-08,Where Are U Now,Skrillex & Diplo With Justin Bieber
2015-08-08,"Honey, I'm Good.",Andy Grammer
2015-08-08,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
2015-08-08,Good For You,Selena Gomez Featuring A$AP Rocky
2015-08-08,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-08-08,679,Fetty Wap Featuring Remy Boyz
2015-08-08,Want To Want Me,Jason Derulo
2015-08-08,Photograph,Ed Sheeran
2015-08-08,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
2015-08-08,She's Kinda Hot,5 Seconds Of Summer
2015-08-08,Sugar,Maroon 5
2015-08-08,Cool For The Summer,Demi Lovato
2015-08-08,Classic Man,Jidenna Featuring Roman GianArthur
2015-08-08,Earned It (Fifty Shades Of Grey),The Weeknd
2015-08-08,Thinking Out Loud,Ed Sheeran
2015-08-08,B**** Better Have My Money,Rihanna
2015-08-08,Flex (Ooh Ooh Ooh),Rich Homie Quan
2015-08-08,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
2015-08-08,Uma Thurman,Fall Out Boy
2015-08-08,Kick The Dust Up,Luke Bryan
2015-08-08,Love Me Like You Do,Ellie Goulding
2015-08-08,Talking Body,Tove Lo
2015-08-08,You Know You Like It,DJ Snake & AlunaGeorge
2015-08-08,Girl Crush,Little Big Town
2015-08-08,Nasty Freestyle,T-Wayne
2015-08-08,Take Your Time,Sam Hunt
2015-08-08,House Party,Sam Hunt
2015-08-08,Slow Motion,Trey Songz
2015-08-08,Elastic Heart,Sia
2015-08-08,Fun,Pitbull Featuring Chris Brown
2015-08-08,Be Real,Kid Ink Featuring DeJ Loaf
2015-08-08,One Hell Of An Amen,Brantley Gilbert
2015-08-08,Crash And Burn,Thomas Rhett
2015-08-08,R.I.C.O.,Meek Mill Featuring Drake
2015-08-08,Shake It Off,Taylor Swift
2015-08-08,Marvin Gaye,Charlie Puth Featuring Meghan Trainor
2015-08-08,Tonight Looks Good On You,Jason Aldean
2015-08-08,Renegades,X Ambassadors
2015-08-08,Loving You Easy,Zac Brown Band
2015-08-08,Like A Wrecking Ball,Eric Church
2015-08-08,Buy Me A Boat,Chris Janson
2015-08-08,Stitches,Shawn Mendes
2015-08-08,Planez,Jeremih Featuring J. Cole
2015-08-08,"I Don't Like It, I Love It",Flo Rida Featuring Robin Thicke & Verdine White
2015-08-08,"John Cougar, John Deere, John 3:16",Keith Urban
2015-08-08,Sangria,Blake Shelton
2015-08-08,Kiss You In The Morning,Michael Ray
2015-08-08,How Deep Is Your Love,Calvin Harris & Disciples
2015-08-08,This Could Be Us,Rae Sremmurd
2015-08-08,Love You Like That,Canaan Smith
2015-08-08,The Night Is Still Young,Nicki Minaj
2015-08-08,This Summer's Gonna Hurt...,Maroon 5
2015-08-08,Young & Crazy,Frankie Ballard
2015-08-08,Hell Of A Night,Dustin Lynch
2015-08-08,Crushin' It,Brad Paisley
2015-08-08,Where Ya At,Future Featuring Drake
2015-08-08,Lose My Mind,Brett Eldredge
2015-08-08,El Perdon (Forgiveness),Nicky Jam & Enrique Iglesias
2015-08-08,Ghost Town,Adam Lambert
2015-08-08,Wet Dreamz,J. Cole
2015-08-08,Commas,Future
2015-08-08,Real Life,Jake Owen
2015-08-08,Good Thing,Sage The Gemini Featuring Nick Jonas
2015-08-08,Love Me Like You Mean It,Kelsea Ballerini
2015-08-08,Like I'm Gonna Lose You,Meghan Trainor Featuring John Legend
2015-08-08,Do It Again,Pia Mia Featuring Chris Brown & Tyga
2015-08-08,How Many Times,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean"
2015-08-08,Bright,Echosmith
2015-08-08,Strip It Down,Luke Bryan
2015-08-08,The Matrimony,Wale Featuring Usher
2015-08-08,Should've Been Us,Tori Kelly
2015-08-08,Beautiful Now,Zedd Featuring Jon Bellion
2015-08-08,Locked Away,R. City Featuring Adam Levine
2015-08-08,Ex's & Oh's,Elle King
2015-08-08,Yoga,Janelle Monae & Jidenna
2015-08-08,Burning House,Cam
2015-08-08,Fly,Maddie & Tae
2015-08-08,Alright,Kendrick Lamar
2015-08-08,I'm Comin' Over,Chris Young
2015-08-08,Baby Be My Love Song,Easton Corbin
2015-08-08,Break Up With Him,Old Dominion
2015-08-08,Sippin' On Fire,Florida Georgia Line
2015-08-08,Blow A Bag,Future
2015-08-08,Tear In My Heart,twenty one pilots
2015-08-08,One Man Can Change The World,Big Sean Featuring Kanye West & John Legend
2015-08-08,Anything Goes,Florida Georgia Line
2015-08-08,Save It For A Rainy Day,Kenny Chesney
2015-08-08,Dance Like We're Making Love,Ciara
2015-08-15,Cheerleader,OMI
2015-08-15,Can't Feel My Face,The Weeknd
2015-08-15,Watch Me,Silento
2015-08-15,Bad Blood,Taylor Swift Featuring Kendrick Lamar
2015-08-15,See You Again,Wiz Khalifa Featuring Charlie Puth
2015-08-15,Lean On,Major Lazer & DJ Snake Featuring MO
2015-08-15,Trap Queen,Fetty Wap
2015-08-15,My Way,Fetty Wap Featuring Monty
2015-08-15,Fight Song,Rachel Platten
2015-08-15,Shut Up And Dance,WALK THE MOON
2015-08-15,The Hills,The Weeknd
2015-08-15,Where Are U Now,Skrillex & Diplo With Justin Bieber
2015-08-15,Good For You,Selena Gomez Featuring A$AP Rocky
2015-08-15,"Honey, I'm Good.",Andy Grammer
2015-08-15,Worth It,Fifth Harmony Featuring Kid Ink
2015-08-15,679,Fetty Wap Featuring Remy Boyz
2015-08-15,Uptown Funk!,Mark Ronson Featuring Bruno Mars
2015-08-15,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack"
2015-08-15,Cool For The Summer,Demi Lovato
2015-08-15,Photograph,Ed Sheeran
2015-08-15,All Eyes On You,Meek Mill Featuring Chris Brown & Nicki Minaj
2015-08-15,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko
2015-08-15,Want To Want Me,Jason Derulo
