Dates,Song,Artist
2017-03-18,Make Love,Gucci Mane & Nicki Minaj
2017-03-18,Losin Control,Russ
2017-03-18,"God, Your Mama, And Me",Florida Georgia Line Feat. Backstreet Boys
2017-03-18,Hometown Girl,Josh Turner
2017-03-18,Green Light,Lorde
2017-03-25,Perfect,Ed Sheeran
2017-03-25,Dive,Ed Sheeran
2017-03-25,Galway Girl,Ed Sheeran
2017-03-25,Happier,Ed Sheeran
2017-03-25,New Man,Ed Sheeran
2017-03-25,Supermarket Flowers,Ed Sheeran
2017-03-25,What Do I Know?,Ed Sheeran
2017-03-25,Eraser,Ed Sheeran
2017-03-25,Hearts Don't Break Around Here,Ed Sheeran
2017-03-25,Barcelona,Ed Sheeran
2017-04-01,No Frauds,"Nicki Minaj, Drake & Lil Wayne"
2017-04-01,Regret In Your Tears,Nicki Minaj
2017-04-01,Changed It,Nicki Minaj & Lil Wayne
2017-04-01,Chanel,Frank Ocean
2017-04-01,Liability,Lorde
2017-04-01,Prblms,6LACK
2017-04-08,Passionfruit,Drake
2017-04-08,Portland,Drake Feat. Quavo & Travis Scott
2017-04-08,Free Smoke,Drake
2017-04-08,Gyalchester,Drake
2017-04-08,Teenage Fever,Drake
2017-04-08,Sacrifices,Drake Feat. 2 Chainz & Young Thug
2017-04-08,Blem,Drake
2017-04-08,No Long Talk,Drake Feat. Giggs
2017-04-08,Get It Together,Drake Feat. Jorja Smith & Black Coffee
2017-04-08,KMT,Drake Feat. Giggs
2017-04-08,Jorja Interlude,Drake
2017-04-08,4422,Drake Feat. Sampha
2017-04-08,Madiba Riddim,Drake
2017-04-08,Glow,Drake Feat. Kanye West
2017-04-08,Do Not Disturb,Drake
2017-04-08,Nothings Into Somethings,Drake
2017-04-08,Ice Melts,Drake Feat. Young Thug
2017-04-08,Lose You,Drake
2017-04-08,Since Way Back,Drake Feat. PARTYNEXTDOOR
2017-04-08,Skepta Interlude,Drake
2017-04-08,Can't Have Everything,Drake
2017-04-08,At My Best,Machine Gun Kelly Feat. Hailee Steinfeld
2017-04-08,Trap Trap Trap,Rick Ross Feat. Young Thug & Wale
2017-04-08,Swalla,Jason Derulo Feat. Nicki Minaj & Ty Dolla $ign
2017-04-15,The Heart Part 4,Kendrick Lamar
2017-04-15,XO TOUR Llif3,Lil Uzi Vert
2017-04-15,Speak To A Girl,Tim McGraw & Faith Hill
2017-04-15,Still Got Time,Zayn Feat. PARTYNEXTDOOR
2017-04-22,Humble.,Kendrick Lamar
2017-04-22,Craving You,Thomas Rhett Feat. Maren Morris
2017-04-22,Everybody,Logic
2017-04-22,You Look Good,Lady Antebellum
2017-04-22,Tin Man,Miranda Lambert
2017-04-22,Subeme La Radio,"Enrique Iglesias Feat. Descemer Bueno, Zion & Lennox Or Sean Paul"
2017-04-22,First Day Out,Tee Grizzley
2017-04-22,The One,The Chainsmokers
2017-04-22,Conscience,Kodak Black Feat. Future
2017-04-22,Drowning,A Boogie Wit da Hoodie Feat. Kodak Black
2017-04-22,Heatstroke,"Calvin Harris Feat. Young Thug, Pharrell Williams & Ariana Grande"
2017-04-22,How Not To,Dan + Shay
2017-04-22,Human,Rag'n'Bone Man
2017-04-29,Sign Of The Times,Harry Styles
2017-04-29,Now Or Never,Halsey
2017-04-29,Unforgettable,French Montana Feat. Swae Lee
2017-04-29,Everyday We Lit,YFN Lucci Feat. PnB Rock
2017-04-29,Cake,Flo Rida & 99 Percent
2017-04-29,Bar At The End Of The World,Kenny Chesney
2017-04-29,Weak,AJR
2017-04-29,If I Told You,Darius Rucker
2017-04-29,Flatliner,Cole Swindell
2017-05-06,DNA.,Kendrick Lamar
2017-05-06,Loyalty.,Kendrick Lamar Feat. Rihanna
2017-05-06,Element.,Kendrick Lamar
2017-05-06,Love.,Kendrick Lamar Feat. Zacari
2017-05-06,Yah.,Kendrick Lamar
2017-05-06,XXX.,Kendrick Lamar Feat. U2
2017-05-06,Feel.,Kendrick Lamar
2017-05-06,Pride.,Kendrick Lamar
2017-05-06,The Cure,Lady Gaga
2017-05-06,Lust.,Kendrick Lamar
2017-05-06,Fear.,Kendrick Lamar
2017-05-06,Blood.,Kendrick Lamar
2017-05-06,God.,Kendrick Lamar
2017-05-06,Duckworth.,Kendrick Lamar
2017-05-06,Good Life,G-Eazy & Kehlani
2017-05-06,Peek A Boo,Lil Yachty Feat. Migos
2017-05-06,Black SpiderMan,Logic Feat. Damian Lemar Hudson
2017-05-06,Broken Halos,Chris Stapleton
2017-05-06,The Night We Met,Lord Huron
2017-05-13,There's Nothing Holdin' Me Back,Shawn Mendes
2017-05-13,Lust For Life,Lana Del Rey Feat. The Weeknd
2017-05-13,Attention,Charlie Puth
2017-05-13,Do Re Mi,blackbear
2017-05-13,Hard Times,Paramore
2017-05-13,My Girl,Dylan Scott
2017-05-20,I'm The One,"DJ Khaled Feat. Justin Bieber, Quavo, Chance The Rapper & Lil Wayne"
2017-05-20,1-800-273-8255,Logic Feat. Alessia Cara & Khalid
2017-05-20,First Time,Kygo & Ellie Goulding
2017-05-20,Thunder,Imagine Dragons
2017-05-20,Bon Appetit,Katy Perry Feat. Migos
2017-05-20,Privacy,Chris Brown
2017-05-20,Slow Hands,Niall Horan
2017-05-20,Magnolia,Playboi Carti
2017-05-20,Sweet Creature,Harry Styles
2017-05-20,Wokeuplikethis*,Playboi Carti Feat. Lil Uzi Vert
2017-05-27,Malibu,Miley Cyrus
2017-05-27,Every Time I Hear That Song,Blake Shelton
2017-05-27,Either Way,Chris Stapleton
2017-05-27,Drinkin' Problem,Midland
2017-06-03,Rollin,Calvin Harris Feat. Future & Khalid
2017-06-03,Bad Liar,Selena Gomez
2017-06-03,Whatever It Takes,Imagine Dragons
2017-06-03,Felices Los 4,Maluma
2017-06-03,No Promises,Cheat Codes Feat. Demi Lovato
2017-06-03,Ghost In This House,Lauren Duski
2017-06-03,Me Enamore,Shakira
2017-06-10,Strip That Down,Liam Payne Feat. Quavo
2017-06-10,Deja Vu,Lauren Duski
2017-06-10,Swish Swish,Katy Perry Feat. Nicki Minaj
2017-06-10,Crying In The Club,Camila Cabello
2017-06-10,Money On You,Chris Blue
2017-06-10,Yours If You Want It,Rascal Flatts
2017-06-10,Most Girls,Hailee Steinfeld
2017-06-10,The Dance,Lauren Duski
2017-06-10,Boy,Lee Brice
2017-06-17,Somethin Tells Me,Bryson Tiller
2017-06-17,Self-Made,Bryson Tiller
2017-06-17,Met Gala,Gucci Mane Feat. Offset
2017-06-17,Don't Get Too High,Bryson Tiller
2017-06-17,No Such Thing As A Broken Heart,Old Dominion
2017-06-17,Run Me Dry,Bryson Tiller
2017-06-17,There For You,Martin Garrix x Troye Sivan
2017-06-17,No Longer Friends,Bryson Tiller
2017-06-17,Butterfly Effect,Travis Scott
2017-06-17,Strangers,Halsey Feat. Lauren Jauregui
2017-06-24,Down,Fifth Harmony Feat. Gucci Mane
2017-06-24,To The Max,DJ Khaled Feat. Drake
2017-06-24,4:00 AM,2 Chainz Feat. Travis Scott
2017-06-24,Whatever You Need,Meek Mill Feat. Chris Brown & Ty Dolla $ign
2017-06-24,Small Town Boy,Dustin Lynch
2017-06-24,Know No Better,"Major Lazer Feat. Travis Scott, Camila Cabello & Quavo"
2017-06-24,It's Everyday Bro,Jake Paul Feat. Team 10
2017-06-24,Somebody Else Will,Justin Moore
2017-06-24,Nobody Else But You,Trey Songz
2017-07-01,2U,David Guetta Feat. Justin Bieber
2017-07-01,Love Galore,SZA Feat. Travis Scott
2017-07-01,Do I Make You Wanna,Billy Currington
2017-07-01,Escapate Conmigo,Wisin Feat. Ozuna
2017-07-01,What Ifs,Kane Brown Feat. Lauren Alaina
2017-07-01,It's A Vibe,"2 Chainz Feat. Ty Dolla $ign, Trey Songz & Jhene Aiko"
2017-07-01,It Ain't My Fault,Brothers Osborne
2017-07-08,Wild Thoughts,DJ Khaled Feat. Rihanna & Bryson Tiller
2017-07-08,Feels,"Calvin Harris Feat. Pharrell Williams, Katy Perry & Big Sean"
2017-07-08,First Day Out,Kodak Black
2017-07-08,Relationship,Young Thug Feat. Future
2017-07-08,Feel It Still,Portugal. The Man
2017-07-08,Real Hitta,Plies Feat. Kodak Black
2017-07-15,Signs,Drake
2017-07-15,Don't Quit,DJ Khaled & Calvin Harris Feat. Travis Scott & Jeremih
2017-07-15,No Complaints,Metro Boomin Feat. Offset & Drake
2017-07-15,On Everything,"DJ Khaled Feat. Travis Scott, Rick Ross & Big Sean"
2017-07-15,Crew,GoldLink Feat. Brent Faiyaz & Shy Glizzy
2017-07-22,Mi Gente,J Balvin & Willy William Feat. Beyonce
2017-07-22,Rake It Up,Yo Gotti Feat. Nicki Minaj
2017-07-22,Bodak Yellow (Money Moves),Cardi B
2017-07-22,Who Dat Boy,"Tyler, The Creator"
2017-07-22,Heartache On The Dance Floor,Jon Pardi
2017-07-22,Extra Luv,Future Feat. YG
2017-07-29,The Story Of O.J.,JAY-Z
2017-07-29,Praying,Kesha
2017-07-29,Bank Account,21 Savage
2017-07-29,4:44,JAY-Z
2017-07-29,Bam,"JAY-Z Feat. Damian ""Jr. Gong"" Marely"
2017-07-29,Family Feud,JAY-Z Feat. Beyonce
2017-07-29,Sorry Not Sorry,Demi Lovato
2017-07-29,Kill Jay Z,JAY-Z
2017-07-29,Smile,JAY-Z Feat. Gloria Carter
2017-07-29,Caught Their Eyes,JAY-Z Feat. Frank Ocean
2017-07-29,Moonlight,JAY-Z
2017-07-29,Glorious,Macklemore Feat. Skylar Grey
2017-07-29,Marcy Me,JAY-Z
2017-07-29,Get Low,Zedd & Liam Payne
2017-07-29,Fetish,Selena Gomez Feat. Gucci Mane
2017-07-29,Famous,21 Savage
2017-08-05,A Lie,French Montana Feat. The Weeknd & Max B
2017-08-05,Jerika,Jake Paul & Erika Costell Feat. Uncle Kade
2017-08-05,Young Dumb & Broke,Khalid
2017-08-05,Woman,Kesha Feat. The Dap-Kings Horns
2017-08-12,Numb,Linkin Park
2017-08-12,In The End,Linkin Park
2017-08-12,Back To You,Louis Tomlinson Feat. Bebe Rexha & Digital Farm Animals
2017-08-12,What's My Name,"China Anne McClain, Thomas Doherty & Dylan Playfair"
2017-08-12,Issues,Meek Mill
2017-08-12,Wins & Losses,Meek Mill
2017-08-12,It's Goin' Down,Descendants 2 Cast
2017-08-12,1942 Flows,Meek Mill
2017-08-12,Imitadora,Romeo Santos
2017-08-12,We Ball,Meek Mill Feat. Young Thug
2017-08-12,F**k That Check Up,Meek Mill & Lil Uzi Vert
2017-08-12,Heavy Heart,Meek Mill
2017-08-19,You Da Baddest,Future Feat. Nicki Minaj
2017-08-19,Unforgettable,Thomas Rhett
2017-08-19,When It Rains It Pours,Luke Combs
2017-08-19,They Don't Know,Jason Aldean
2017-08-19,Honest,The Chainsmokers
2017-08-19,The Weekend,SZA
2017-08-19,New Rules,Dua Lipa
2017-08-19,Wish I Knew You,The Revivalists
2017-08-19,Every Little Thing,Carly Pearce
2017-08-19,Learn To Let Go,Kesha
2017-08-19,All The Pretty Girls,Kenny Chesney
2017-08-19,For Her,Chris Lane
2017-08-26,The Race,Tay-K
2017-08-26,Patty Cake,Kodak Black
2017-08-26,OMG,Camila Cabello Feat. Quavo
2017-08-26,What About Us,P!nk
2017-08-26,Perplexing Pegasus,Rae Sremmurd
2017-08-26,B.E.D.,Jacquees
2017-08-26,Chillin' Like A Villain,"Sofia Carson, Cameron Boyce, Booboo Stewart & Mitchell Hope"
2017-08-26,Havana,Camila Cabello Feat. Young Thug
2017-09-02,Silence,Marshmello Feat. Khalid
2017-09-02,More Girls Like You,Kip Moore
2017-09-02,Something New,Wiz Khalifa Feat. Ty Dolla $ign
2017-09-02,Untouchable,YoungBoy Never Broke Again
2017-09-02,I Could Use A Love Song,Maren Morris
2017-09-02,Fix A Drink,Chris Janson
2017-09-09,Friends,Justin Bieber + BloodPop
2017-09-09,I Get The Bag,Gucci Mane Feat. Migos
2017-09-09,Roll In Peace,Kodak Black Feat. XXXTENTACION
2017-09-09,Look What You Made Me Do,Taylor Swift
2017-09-09,Younger Now,Miley Cyrus
2017-09-09,Its Every Night Sis,RiceGum Feat. Alissa Violet
2017-09-09,Transportin',Kodak Black
2017-09-09,Questions,Chris Brown
2017-09-16,Jocelyn Flores,XXXTENTACION
2017-09-16,The Way Life Goes,Lil Uzi Vert Feat. Nicki Minaj
2017-09-16,F**k Love,XXXTENTACION Feat. Trippie Redd
2017-09-16,Sauce It Up,Lil Uzi Vert
2017-09-16,Everybody Dies In Their Nightmares,XXXTENTACION
2017-09-16,444+222,Lil Uzi Vert
2017-09-16,What Lovers Do,Maroon 5 Feat. SZA
2017-09-16,Light It Up,Luke Bryan
2017-09-16,Revenge,XXXTENTACION
2017-09-16,Neon Guts,Lil Uzi Vert Feat. Pharrell Williams
2017-09-16,Two,Lil Uzi Vert
2017-09-16,X,Lil Uzi Vert
2017-09-16,For Real,Lil Uzi Vert
2017-09-16,UnFazed,Lil Uzi Vert Feat. The Weeknd
2017-09-16,No Sleep Leak,Lil Uzi Vert
2017-09-16,Depression & Obsession,XXXTENTACION
2017-09-16,Dark Queen,Lil Uzi Vert
2017-09-16,Save Me,XXXTENTACION
2017-09-16,Carry On,XXXTENTACION
2017-09-16,Tell Me You Love Me,Demi Lovato
2017-09-23,...Ready For It?,Taylor Swift
2017-09-23,These Heaux,Bhad Bhabie
2017-09-23,Bad At Love,Halsey
2017-09-23,Greatest Love Story,LANCO
2017-09-23,Sky Walker,Miguel Feat. Travis Scott
2017-09-23,No Fear,DeJ Loaf
2017-09-30,Too Good At Goodbyes,Sam Smith
2017-09-30,Dusk Till Dawn,Zayn Feat. Sia
2017-09-30,Love So Soft,Kelly Clarkson
2017-09-30,I'll Name The Dogs,Blake Shelton
2017-09-30,Found You,Kane Brown
2017-09-30,Gucci Gang,Lil Pump
2017-09-30,No Limit,G-Eazy Feat. A$AP Rocky & Cardi B
2017-09-30,Pills And Automobiles,"Chris Brown Feat. Yo Gotti, A Boogie Wit da Hoodie & Kodak Black"
2017-09-30,Let Me Go,Hailee Steinfeld & Alesso Feat. Florida Georgia Line & Watt
2017-10-07,Rockstar,Post Malone Feat. 21 Savage
2017-10-07,Too Much To Ask,Niall Horan
2017-10-07,Curve,Gucci Mane Feat. The Weeknd
2017-10-07,DNA,BTS
2017-10-07,Homemade Dynamite,"Lorde Feat. Khalid, Post Malone & SZA"
2017-10-14,I Fall Apart,Post Malone
2017-10-14,Good Old Days,Macklemore Feat. Kesha
2017-10-14,Losing Sleep,Chris Young
2017-10-14,Like I Loved You,Brett Young
2017-10-14,Round Here Buzz,Eric Church
2017-10-14,Plain Jane,A$AP Ferg Feat. Nicki Minaj
2017-10-21,Hi Bich,Bhad Bhabie
2017-10-21,No Promises,A Boogie Wit da Hoodie
2017-10-21,Say A',A Boogie Wit da Hoodie
2017-10-21,Undefeated,A Boogie Wit da Hoodie Feat. 21 Savage
2017-10-21,Beast Mode,A Boogie Wit da Hoodie Feat. PnB Rock & YoungBoy Never Broke Again
2017-10-21,Smooth,Florida Georgia Line
2017-10-28,Almost Like Praying,Lin-Manuel Miranda Feat. Artists For Puerto Rico
2017-10-28,Pray,Sam Smith Feat. Logic
2017-10-28,How Long,Charlie Puth
2017-10-28,Heaven,Kane Brown
2017-10-28,Dear Hate,Maren Morris Feat. Vince Gill
2017-10-28,Lights Down Low,MAX Feat. gnash
2017-10-28,Too Hotty,"Quavo, Takeoff & Offset"
2017-11-04,High End,Chris Brown Feat. Future & Young Thug
2017-11-04,Yours,Russell Dickerson
2017-11-04,Let You Down,NF
2017-11-04,Stunting Ain't Nuthin,Gucci Mane Feat. Slim Jxmmi & Young Dolph
2017-11-04,You Broke Up With Me,Walker Hayes
2017-11-04,Mayores,Becky G Feat. Bad Bunny
2017-11-04,Ask Me How I Know,Garth Brooks
2017-11-11,Gorgeous,Taylor Swift
2017-11-11,Patek Water,Future & Young Thug Feat. Offset
2017-11-11,Meant To Be,Bebe Rexha & Florida Georgia Line
2017-11-11,No Cap,Future & Young Thug
2017-11-11,Feed Me Dope,Future
2017-11-11,All Da Smoke,Future & Young Thug
2017-11-11,Candy Paint,Post Malone
2017-11-11,Wolves,Selena Gomez X Marshmello
2017-11-11,4 Da Gang,Future
2017-11-11,Bedroom Floor,Liam Payne
2017-11-11,Three,Future & Young Thug
2017-11-18,MotorSport,"Migos, Nicki Minaj & Cardi B"
2017-11-18,Ghostface Killers,"21 Savage, Offset & Metro Boomin Feat. Travis Scott"
2017-11-18,Ric Flair Drip,Offset & Metro Boomin
2017-11-18,Rap Saved Me,"21 Savage, Offset & Metro Boomin Feat. Quavo"
2017-11-18,My Choppa Hate N****s,21 Savage & Metro Boomin
2017-11-18,All On Me,Devin Dawson
2017-11-25,Call It What You Want,Taylor Swift
2017-11-25,Lemon,N*E*R*D & Rihanna
2017-11-25,Rubbin Off The Paint,YBN Nahmir
2017-11-25,Wait,Maroon 5
2017-11-25,Pull Up N Wreck,Big Sean & Metro Boomin Feat. 21 Savage
2017-11-25,Mad Stalkers,"21 Savage, Offset & Metro Boomin"
2017-11-25,Nightmare,Offset & Metro Boomin
2017-12-02,Walk On Water,Eminem Feat. Beyonce
2017-12-02,Gummo,6ix9ine
2017-12-02,Wanted You,NAV Feat. Lil Uzi Vert
2017-12-02,Female,Keith Urban
2017-12-02,Betrayed,Lil Xan
2017-12-02,The Plan,G-Eazy
2017-12-02,Pick It Up,Famous Dex Feat. A$AP Rocky
2017-12-09,Echame La Culpa,Luis Fonsi & Demi Lovato
2017-12-09,Awful Things,Lil Peep
2017-12-09,End Game,Taylor Swift Feat. Ed Sheeran & Future
2017-12-09,Home,"Machine Gun Kelly, X Ambassadors & Bebe Rexha"
2017-12-09,When We,Tank
2017-12-09,Beautiful Trauma,P!nk
2017-12-09,No Smoke,YoungBoy Never Broke Again
2017-12-09,The Rest Of Our Life,Tim McGraw & Faith Hill
2017-12-09,Written In The Sand,Old Dominion
2017-12-09,Faking It,Calvin Harris Feat. Kehlani & Lil Yachty
2017-12-16,MIC Drop,BTS Feat. Desiigner
2017-12-16,Codeine Dreaming,Kodak Black Feat. Lil Wayne
2017-12-16,Krippy Kush,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian"
2017-12-16,Legends,Kelsea Ballerini
2017-12-16,Total Eclipse Of The Heart,Chloe Kohanski
2017-12-16,Perro Fiel,Shakira Feat. Nicky Jam
2017-12-23,Him & I,G-Eazy & Halsey
2017-12-23,Kooda,6ix9ine
2017-12-23,Juice,Yo Gotti
2017-12-23,Bella y Sensual,Romeo Santos Feat. Nicky Jam & Daddy Yankee
2017-12-23,Marry Me,Thomas Rhett
2017-12-23,Five More Minutes,Scotty McCreery
2017-12-23,Criminal,Natti Natasha x Ozuna
2017-12-30,Never Be The Same,Camila Cabello
2017-12-30,Go Legend,Big Sean & Metro Boomin Feat. Travis Scott
2017-12-30,Dark Knight Dummo,Trippie Redd Feat. Travis Scott
2017-12-30,My Dawg,Lil Baby
2017-12-30,Danger,Migos & Marshmello
2017-12-30,Untouchable,Eminem
2018-01-06,Bartier Cardi,Cardi B Feat. 21 Savage
2018-01-06,River,Eminem Feat. Ed Sheeran
2018-01-06,La Modelo,Ozuna x Cardi B
2018-01-06,Eye 2 Eye,Huncho Jack Feat. Takeoff
2018-01-06,Modern Slavery,Huncho Jack
2018-01-06,Thunder/Young Dumb & Broke (Medley),Imagine Dragons + Khalid
2018-01-06,Black & Chinese,Huncho Jack
2018-01-06,Ice Tray,Quavo & Lil Yachty
2018-01-06,Dubai Shit,Huncho Jack Feat. Offset
2018-01-06,Huncho Jack,Huncho Jack
2018-01-06,Motorcycle Patches,Huncho Jack
2018-01-06,Saint,Huncho Jack
2018-01-06,Stir Fry,Migos
2018-01-13,Finesse,Bruno Mars & Cardi B
2018-01-13,One Foot,WALK THE MOON
2018-01-13,This Is Me,Keala Settle & The Greatest Showman Ensemble
2018-01-13,Rewrite The Stars,Zac Efron & Zendaya
2018-01-13,Never Enough,Loren Allred
2018-01-13,Corazon,Maluma X Nego do Borel
2018-01-13,The Greatest Show,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya & The Greatest Showman Ensemble"
2018-01-13,Best Friend,"Sofi Tukker Feat. NERVO, The Knocks & Alisa Ueno"
2018-01-20,Filthy,Justin Timberlake
2018-01-20,All The Stars,Kendrick Lamar & SZA
2018-01-20,For You (Fifty Shades Freed),Liam Payne & Rita Ora
2018-01-20,Nowadays,Lil Skies Feat. Landon Cube
2018-01-20,I Miss You,Clean Bandit Feat. Julia Michaels
2018-01-20,Red Roses,Lil Skies Feat. Landon Cube
2018-01-27,The Champion,Carrie Underwood Feat. Ludacris
2018-01-27,KEKE,"6ix9ine, Fetty Wap & A Boogie Wit da Hoodie"
2018-01-27,Outside Today,YoungBoy Never Broke Again
2018-01-27,My My My!,Troye Sivan
2018-01-27,Tequila,Dan + Shay
2018-01-27,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake"
2018-01-27,IDGAF,Dua Lipa
2018-01-27,El Bano,Enrique Iglesias Feat. Bad Bunny
2018-02-03,God's Plan,Drake
2018-02-03,Diplomatic Immunity,Drake
2018-02-03,Mine,Bazzi
2018-02-03,Sick Boy,The Chainsmokers
2018-02-03,Supplies,Justin Timberlake
2018-02-03,No Name,NF
2018-02-03,Rock,Plies
2018-02-10,Say Something,Justin Timberlake Feat. Chris Stapleton
2018-02-10,Walk It Talk It,Migos Feat. Drake
2018-02-10,The Middle,"Zedd, Maren Morris & Grey"
2018-02-10,You Make It Easy,Jason Aldean
2018-02-10,Narcos,Migos
2018-02-10,BBO (Bad Bitches Only),Migos Feat. 21 Savage
2018-02-10,Notice Me,Migos Feat. Post Malone
2018-02-10,Supastars,Migos
2018-02-10,White Sand,"Migos Feat. Travis Scott, Ty Dolla $ign & Big Sean"
2018-02-10,Gang Gang,Migos
2018-02-10,New Freezer,Rich The Kid Feat. Kendrick Lamar
2018-02-10,Higher We Go (Intro),Migos
2018-02-10,Auto Pilot,Migos
2018-02-10,Emoji A Chain,Migos
2018-02-10,El Farsante,Ozuna & Romeo Santos
2018-02-10,Most People Are Good,Luke Bryan
2018-02-10,CC,Migos Feat. Gucci Mane
2018-02-17,Pray For Me,The Weeknd & Kendrick Lamar
2018-02-17,Man Of The Woods,Justin Timberlake
2018-02-17,Dura,Daddy Yankee
2018-02-17,Hardaway,Derez De'Shon
2018-02-17,At The Club,Jacquees X Dej Loaf
2018-02-17,The Long Way,Brett Eldredge
2018-02-17,Singles You Up,Jordan Davis
2018-02-17,A Girl Like You,Easton Corbin
2018-02-24,Look Alive,BlocBoy JB Feat. Drake
2018-02-24,X,"ScHoolboy Q, 2 Chainz & Saudi"
2018-02-24,Plug Walk,Rich The Kid
2018-02-24,The Ways,Khalid & Swae Lee
2018-02-24,Paramedic!,SOB X RBE
2018-02-24,Big Shot,Kendrick Lamar & Travis Scott
2018-02-24,Friends,Marshmello & Anne-Marie
2018-02-24,Black Panther,Kendrick Lamar
2018-02-24,I Like Me Better,Lauv
2018-03-03,Love Lies,Khalid & Normani
2018-03-03,Get You,Daniel Caesar Feat. Kali Uchis
2018-03-10,Psycho,Post Malone Feat. Ty Dolla $ign
2018-03-10,44 More,Logic
2018-03-10,Billy,6ix9ine
2018-03-10,Want You Back,5 Seconds Of Summer
2018-03-10,RONDO,6ix9ine Feat. Tory Lanez & Young Thug
2018-03-10,Booty,Blac Youngsta
2018-03-10,She's With Me,High Valley
2018-03-10,Break Up In The End,Cole Swindell
2018-03-10,Make Me Feel,Janelle Monae
2018-03-17,Sad!,XXXTENTACION
2018-03-17,Top Off,"DJ Khaled Feat. JAY Z, Future & B"
2018-03-17,Everyday,Logic & Marshmello
2018-03-17,No Excuses,Meghan Trainor
2018-03-17,Changes,XXXTENTACION
2018-03-17,Powerglide,Rae Sremmurd & Juicy J
2018-03-17,X,Nicky Jam x J Balvin
2018-03-17,Stranger Things,Joyner Lucas & Chris Brown
2018-03-17,Tempo,Chris Brown
2018-03-17,Sativa,Jhene Aiko Feat. Swae Lee Or Rae Sremmurd
2018-03-17,I Lived It,Blake Shelton
2018-03-17,Broken Clocks,SZA
2018-03-24,Zombie,Bad Wolves
2018-03-24,Indica Badu,Logic Feat. Wiz Khalifa
2018-03-24,Contra,Logic
2018-03-24,NBAYoungboat,Lil Yachty Feat. NBA YoungBoy
2018-03-24,Overnight,Logic
2018-03-24,66,Lil Yachty Feat. Trippie Redd
2018-03-24,Midnight,Logic
2018-03-24,Wassup,Logic Feat. Big Sean
2018-03-24,Delicate,Taylor Swift
2018-03-24,Yuck,Logic
2018-03-24,Boom!,Lil Yachty Feat. Ugly God
2018-03-24,BoomTrap Protocol,Logic
2018-03-24,Warm It Up,Logic Feat. Young Sinatra
2018-03-31,Freaky Friday,Lil Dicky Feat. Chris Brown
2018-03-31,Moonlight,XXXTENTACION
2018-03-31,Found / Tonight,Lin-Manuel Miranda & Ben Platt
2018-03-31,The Remedy For A Broken Heart (Why Am I So In Love),XXXTENTACION
2018-03-31,In My Blood,Shawn Mendes
2018-03-31,Numb,XXXTENTACION
2018-03-31,Infinity (888),XXXTENTACION Feat. Joey Bada$$
2018-03-31,One Number Away,Luke Combs
2018-03-31,Sit Next To Me,Foster The People
2018-03-31,Going Down!,XXXTENTACION
2018-03-31,Everybody Hates Me,The Chainsmokers
2018-04-07,Say Amen (Saturday Night),Panic! At The Disco
2018-04-07,Lost In Japan,Shawn Mendes X Zedd
2018-04-07,Japan,Famous Dex
2018-04-07,Up Down,Morgan Wallen Feat. Florida Georgia Line
2018-04-07,For The First Time,Darius Rucker
2018-04-07,No Roots,Alice Merton
2018-04-14,Call Out My Name,The Weeknd
2018-04-14,Be Careful,Cardi B
2018-04-14,Try Me,The Weeknd
2018-04-14,Wasted Times,The Weeknd
2018-04-14,I Was Never There,The Weeknd Feat. Gesaffelstein
2018-04-14,Hurt You,The Weeknd Feat. Gesaffelstein
2018-04-14,Medicine,Queen Naija
2018-04-14,Privilege,The Weeknd
2018-04-14,Boo'd Up,Ella Mai
2018-04-14,OKRA,"Tyler, The Creator"
2018-04-14,Take Back Home Girl,Chris Lane Feat. Tori Kelly
2018-04-14,"Woman, Amen",Dierks Bentley
2018-04-14,Proud,2 Chainz Feat. YG & Offset
2018-04-14,Focus,H.E.R.
2018-04-21,Nice For What,Drake
2018-04-21,I Like It,"Cardi B, Bad Bunny & J Balvin"
2018-04-21,Drip,Cardi B Feat. Migos
2018-04-21,I Do,Cardi B Feat. SZA
2018-04-21,Ring,Cardi B Feat. Kehlani
2018-04-21,Get Up 10,Cardi B
2018-04-21,Best Life,Cardi B Feat. Chance The Rapper
2018-04-21,Bickenhead,Cardi B
2018-04-21,Thru Your Phone,Cardi B
2018-04-21,She Bad,Cardi B & YG
2018-04-21,Money Bag,Cardi B
2018-04-21,Diamond Teeth Samurai,YoungBoy Never Broke Again
2018-04-21,One Kiss,Calvin Harris & Dua Lipa
2018-04-21,A$AP Forever,A$AP Rocky Feat. Moby
2018-04-21,Barbie Tingz,Nicki Minaj
2018-04-21,Get Along,Kenny Chesney
2018-04-21,Chun-Li,Nicki Minaj
2018-04-21,Alone,Halsey Feat. Big Sean & Stefflon Don
2018-04-28,Esskeetit,Lil Pump
2018-04-28,Cry Pretty,Carrie Underwood
2018-04-28,Let Me,Zayn
2018-04-28,Guatemala,Swae Lee Feat. Slim Jxmmi
2018-04-28,Anybody,Young Thug Feat. Nicki Minaj
2018-04-28,Gotti,6ix9ine
2018-05-05,No Tears Left To Cry,Ariana Grande
2018-05-05,ATM,J. Cole
2018-05-05,Kevin's Heart,J. Cole
2018-05-05,KOD,J. Cole
2018-05-05,Photograph,J. Cole
2018-05-05,Motiv8,J. Cole
