kpop_kr_Lyrics,kpop_en_Lyrics
아래 좌우 파도처럼 일상 뭔가 상큼 어서 바람 오우 어서 용기 어서 용기 아래 좌우 파도처럼 마음속 보고 걱정 고민 음악 어서 오우 어서 용기 어서 용기 아래 좌우 파도처럼 오른쪽 두발 머리 어깨 왼쪽 발발 오른쪽 두발 머리 어깨 왼쪽 발발 아래 좌우 파도처럼,turn body right stop shake drowsy boring tired daily life work hurry wind wake hold hand baby open feel baby hurry feel baby ready baby open feel baby hurry feel baby ready turn body right stop shake heavy thing heart luggage bird forget worry music hurry trust baby open feel baby hurry feel baby ready baby open feel baby hurry feel baby ready turn body right stop shake walk hair head shoulder hair stand foot foot walk right foot head shoulder hair stand foot foot turn body right stop
이그 얼굴 원래 오늘 달라 뭔가 눈빛 동정 대화 주제 머린 곧장 아무 발짝 말날 모습 텐데그 하자 마지막 사랑 종신형 상과 단절 지경 존재 질병 시련 속마음 미련 세상 눈초리 아픔 아픔 모습 텐데그 너마저 사랑 마지막 마지막 마지막 모습 기억 모습 텐데그,handsome gotten beautiful look different today cold look sympathy small front pretend okay change topic conversation hair smooth cheek funny anything step moon drive crazy baby monster time disappear baby baby monster monster matter happy tomorrow love today last life life imprisonment world existence continuation chronic disease trial heart people world everything twisted bee biggest pain pain love baby monster time disappear baby baby monster monster filtered look look look last last last last standing front please baby monster time disappear baby baby monster monster sick sick sick sick
그땐 조각 약속 도니 간그 추억 서너 로더 기억 가슴 가도 도니 서너 로더 기억 가슴 사랑 의미 점점 기억 가슴,funny lazy reminded sculpture promise filled meet someone reminded memory live change heart remembers seat reach live change heart remembers seat love dream everything meaningless inside bigger bigger heart remembers seat
난사 그대 얼굴 길가 이름 들꽃 기억 첫사랑 첫사랑 활짝 부신 꽃처럼 첫사랑 첫사랑 사랑 사랑 밤하늘 그대 추억 일기장 첫사랑 첫사랑 활짝 부신 꽃처럼 첫사랑 첫사랑 사랑 그땐 그땐 죠오 첫사랑 첫사랑 열병 정신 어른 첫사랑 첫사랑 미련 사랑 사랑 사랑,fragrant wind touch cheek reminds hiding side road time wild flower bloom name hidden memory ill ill illababy ill ill illababy ill ill ill beautiful flower bloom spring bright flower child good first much love ill ill ill ill ill ill ill ill ill lovegood star drawn dark night memory diary take baby ill ill illababy ill ill illababy ill ill ill beautiful flower bloom spring bright flower child good first much love young ill ill ill ill ill ill illailla ill ill ill sick fever mind adult much ill ill ill ill ill ill ill ill ill lovegood byeilla ill ill ill ill ill ill ill ill lovegood
학수고대 금요일 양말 금요일 클럽 가잔 친구 전화 벌써 아홉시 어연락 열한시 어미 새벽 시어 구석 결심 위풍 택시 아차 지갑 아저씨 벌써 아홉시 어연락 열한시 어미 새벽 시어 구석 문자 티비 불빛 전화 알람 거오 구석구석 방구 애가 계속 애가 계속 재동 형님 형님 그냥 클럽 벌써 시어 연락 시어 새벽 두시 구석,friday sock call friend club heard clock crazy corner room confident taxi clock heard clock crazy corner room text message call alarm corner room rotten heart thirsty empty stomach burning thirsty empty stomach burning hello hello jaedong brother stay club next time heard clock crazy corner room
문자 어젯밤 얘기 가면 준비 가게 전람회 노래 고백 얼굴 활짝 거조 착각 문자 아침 위험 굳이 답장 느낌 아침 일이 가시 자정 지난 하루 시작 고백 그동안 대답 지기 대답 문자 아침 위험 굳이 답장 느낌 문자 위험 굳이 답장 느낌,good morning text feel last night everything restaurant ready song exhibition tack clumsy face flower lighting good morning text good morning feel reply tell good good morninghope good good morninghope good good morninghope good good morning good morning home midnight difficult heart confess guess answer hope rush much answer feel morning text good morning feel reply right tell good morninggood morninggood morninggood morning text feel reply right hope good good morninghope good good morninghope good good morninghope good good morning
창밖 기억 사랑 사랑 사랑 아목 보지 사랑 사랑 사랑 사랑 그대 이름 베인 사랑 사랑 창가 어둠 추억 사랑 사랑 사랑 아목 보지 사랑 사랑 사랑 아보 사랑 그대 이름 베인 사랑 사랑 웃음 눈물 사랑 사랑 사랑 아내 대도 가슴 사랑 사랑 사랑 사랑 아내 간직 사랑 사랑,rain window hidden memory heart someone love love miss hear miss love name painful love love darkness window hidden memory reveal love love miss hear love miss love name painful love love moment moment love thank love heart precious love breath cherish love
주르루 주르루 소리 현관 우산 벌써 어두컴컴 하늘 오늘 하루 창문 비야 제발 소나기 인연 수가 하루 제발 르루 주르루 새벽 정신 편의점 우산 그냥 비야 제발 소나기 인연 수가 하루 로이 아마 비야 제발 소나기 인연 수가 하루 비야 제발 소나기 인연 수가 하루 제발,sound rain front door umbrella dark look stop stop please cool shower moment pass miss please little thought dawn hold umbrella convenience store expensive rain stop stop please cool shower moment pass mysterious heart stop stop please cool shower moment pass miss rain depressed please cool shower moment pass miss please
그대 가요 가끔 감고 기네 그대 계속 점점 그대 그대 사이 사랑 미련 이름 지난 얘기 계속 그대 그대 위로 오늘 위로 계절 지나 그대,long night fall usual night summer spent someday night sleep tonight night midnight midnight sleep midnight night tonight night midnight midnight sleep midnight open enough stop hurt name night talk guess keep thinking miss time night sleep tonight night midnight midnight sleep midnight night night midnight midnight sleep midnight little star comfort faint place lean little star comfort place lean night star night little little night night tonight night midnight midnight sleep midnight
처음처럼 종일 욕심 나우 사이 가까이 발짝 가까이 혼잣말 속삭임 표정 마음 거짓말 바보 얼굴 고민 하루 사랑 하늘 눈물 눈물 이온 하늘 세상 표정 마음 거짓말 바보 얼굴 고민 하루 사랑 입술 거짓말 말맘속 발걸음 마음 밀면,monday heart flutter first time sunday long closer step curious cold feel much face love holiday cloudy tear resemble heart heart whole whole world cold feel much face love want word hidden heart turn slow step hear heart stick hand reason hesitation
절대로 사랑 유죄 이별 무죄 고뇌 사랑 사랑 매듭 밑바닥 사랑 말로 체온 자꾸 하루하루 무릎 가슴 제발 내게로 사랑 입술 설명 하루하루 무릎 가슴 제발 내게로 손길 첫사랑 마지막 사랑 제발 눈물 사랑 별도 너뿐이,right girl listen ready matter much wind guilty farewell innocent night agony eternal love rest peace much knot bottom beautiful cold word baby body temperature warm keep cold please baby everyday youbecause bend knee break heart please love baby live matter much think baby everyday youbecause bend knee break heart please touch body touch last love please hand loving youbecause tear
노래 노래 어안 노래 어제 이별 노래 노래 주인공 노래 노래 친구 얘기 진짜 친구 친구 새벽 문자 소리 김미영 이별 진짜 혼좀 나야 어제 남자 마네 진짜 마비 음악처럼 노래 소주 클럽 양주 소식 남자 남자 오빠 음성 메세지 김미영 이별 진짜 혼좀 나야 노래 가슴 보지 노래 세상 보지 노래 진짜 마이 노래 진짜 이별 진짜 혼좀 나야,listen song song listen worse song listen mood listen girl yesterday sure listen listen beautiful farewell song main character song song listen listen friend side friend listen listen early morning text team leader everything breakup everything young listen yesterday listen listen music rain you rain rain alcoholic beverage listen news woman male care listen voice message listen team leader everything breakup everything young song guess painful song guess world beautiful listen song listen song listen everything everything breakup everything young
마음 감정 그대로 모습 마음 마음 처음 거짓말 그대로 처음처럼 거짓 상처 마음 두번째 사랑 처음 느낌,wait heart danger moment automatic kind emotion moment automatic answer tonight come time crazy hurt heart heart everything backbaby booby baby hope booby miss hope first onlynight flashback sister disappears tonight first time deep wound heart heart everything backbaby booby baby hope booby miss hope beautiful magic magical feeling trust fall fall second love hear dance flashback flashback flashback flashback baby miss baby hope booby miss hope flashback
네온사인 채운 눈동자 싸인 네온사인 눈동자 사랑 서로 전하 거리 그대 차그 네온사인 채운 눈동자 싸인 네온사인 눈동자 그대 가마치 아무 일도 기억 서로 가지우 거리 그대 차그 네온사인 채운 눈동자 싸인 네온사인 그대 곳워 허그 네온사인 채운 눈동자 싸인 네온사인 눈동자 네온사인 그대 싸인 눈동자,sign night night non sign clear night heart people love street heart non sign night night non sign clear night ease night nothing sentimental memory street heart non sign night night non sign clear beautiful place place star heart beautiful place whew non sign night night non sign clear whose who who who whose who who who non sign everyone
보고 늑대 취향 자꾸 오늘 저리 느낌 보고 상상 사과 얼굴 고민 어서 어디가 오늘 저리 느낌 오늘 저리 느낌,ready look wolf wood taste back keep moment ready tonight sister ready ready baby curious imagine wood wrong apple face wood ready tonight sister ready ready baby wood wood wood wood wood mamma mamma hide hesitate come ready tonight sister ready ready baby
시련 준비 완료 헤이 쉽사리 자가 수면 위로 시련 단계 그대 오늘 가슴 승리 역시 확률 내지 역시 확률 포기 마이 진짜 한번 아내 점점 는걸 세상 마주 준비 자만 는걸 변수 그대 오늘 가슴 승리 남자 남자 역시 확률 내지 역시 확률 세상 믿음 간직 그대 오늘 가슴 승리,single good time goodby trial sex free single ready sex free single ready lingo everyone higher stronger endure hang hang person person trust surface deepens long ordeal becomes upgrade next level breath good time party time much today taste victory heart flutter good time sex free single ready lingo sex free single ready lingo odds odds unfavorable lingo heavy scar nananananana everyone experience least fail lose afraid person person gotten stronger time romance towards dream upgrade keep bolder bolder sex sex rough world ready sex sex sex much endless variable breath good time party time much today taste victory heart flutter good time sex free single nice sex free single odds odds unfavorable lingo world catch breath person precious faith look sex free single ready lingo sex free single ready lingo breath good time party time much today taste victory heart flutter good time sex free single ready lingo
추억 대체 절대 사랑 독해 말걸 우린 영화 보고 노래 후회 오늘 보고 취해 보고 매일 사랑 이별 그림자 오늘 도대체 오늘 눈물 말걸 우린 영화 보고 노래 후회 오늘 보고 취해 보고 매일 사랑 이별 그림자 오늘 빈번 거짓말 아주 미소 홀린 어쩌겠어 그리움 텅빈 거리,who who who who anna who who who who please who who who fallen who who who who fallen many memory case love strong guess fooled sweet word know movie like point today who who who who who who who who street drunk everyday sweet shadow sleep tonight who who who who who who who who who who today sweet word know movie sang point today who who who who who who who who street drunk everyday sweet shadow sleep tonight who who who who who who obvious frequent cheap smile miss heart empty empty street who who who anna who who who who please who who who fallen who who who who fallen
오늘 금도 사랑 이쯤 오늘 연인 거지 그냥 게이 사랑 라며 표정 마찬가지 정신 거지 제발 진심 제발 판다 제발 제발 금도 사랑 이쯤 오늘 매일 오늘 거지 사랑 끝내 거지 수도 거지 뭐니 거지 우린 때론 때로는 수도 거지 제발 진심 제발 판다 제발 제발 금도 사랑 이쯤 오늘 짜증 신경 진짜 사랑 모습 사랑 이쯤 오늘 사과 바퀴 고민 후회 원망 눈빛 안내,today happy stop today couple lazy everything nothing weird love face case know excited weird mind please serious angry please second please guess mind second break heart please happy stop today happy everyday today happy finish luggage angry angry moment fight please serious angry please second please guess mind second break heart please happy stop today sorry annoyed sorry care everyone sorry sorry sorry sorry sorry nothing sorry sorry nice sorry sorry sorry sorry happy sorry love today accept apology wonder regret stronger resentment stop smile home
죽지 시선 피해 결코 추락 과거 뒤로 깊이 모습 하늘 사랑 자취 대중 동경 환호 정서 불안 죽음 고뇌 밤내 젊음 유품 사진 청춘 장식품 영적 감성 보지 미래 인생 멜로디 지휘 해고 소녀 자격지심 여운 모습 동정 세상 추락 과거 뒤로 깊이 모습 하늘 소리 함성 에탄 탄성 감성 대의 반성은 찬송 양성 악성 방송 각성 아무개 단정 아무 죽지 시선 피해 결코 손가락질 이슈 증거 실망 기대 근거 오르락내리락 구설수 무덤 여운 모습 동정 세상 추락 과거 뒤로 깊이 모습 하늘,alive alive alive look people fall alive nothing lose leave past jump beautiful right throw free moment alive alive love look unhappy disappearing afraid public emotional anxiety painful night death photo relic youth youth decoration others receive spiritual energy future lead melody life climax girl crazy smart inferiority everyone everyone pitiful tell world work alive nothing lose past move jump deep beautiful right throw free moment alive alive alive alive alive living living good life alive alive alive living living good life silent shout exclamation reflection sentimental praise positive wake conclude daytime look people evidence issue expectation reason ground place thing sunny everyone everyone pitiful tell world work alive nothing lose leave past jump beautiful right throw free moment alive alive alive alive alive living living good life alive alive alive living living good life
숨소리 귓가 여름 도시 불빛 손끝 오늘 서나 어둠 눈빛 우린 여름 멀리 달빛 사랑 취한 어깨 위로 여름 어스름 이또 손등 살짝 입술 내비 절대 입맞춤 소설 연인 우린 얘기 입술 여름 멀리 달빛 사랑 취한 사랑 도나 사랑 그대 그대,sound breath night summer night city light baby today lady dark scan other right deep dream midsummer night distance look feel drunk first time kiss shoulder midsummer night dusk honest hand feel bump show night sticky sweet kiss full wake hope last forever lover beautiful baby story share night tell deep dream midsummer night distance look feel drunk first time wish speak little slower love give night lean dream wake dream againkiss
목소리 목소리 목소리 귓가 파도 소리아 무도 홀로 바다 귓가 목소리 자꾸 목소리 목소리 목소리 수도 수도 파도 파도 처럼 잡고 파도처럼 사랑 가슴 이별 잡고 상처 하필 나야 게이 사랑 이란 하루 제대로 참고 거릴 파도처럼 자꾸 목소리 목소리 목소리 수도 수도 파도 파도처럼 하루하루 그리움 참고 안고 매일 매일 목소리 목소리 매일 애입 평생 이제야 눈물 목소리 수도 수도 파도,hear voice hear voice hear voice wave think pain lonely ocean stop stop stop stop voice voice breath hear voice voice person touch wave heart hurt time hard catch people breakup want hurt everything nice someone nice heart walk street wave voice hear breath hurt worse watch touch miss heart live everyday voice hear voice everyday feel cover mouth rest life girl hurt worse touch wave
발라 불타 까무러칠 밤새 이나 한숨 안녕 안녕 반짝 눈동자 그대 그대 눈동자 사랑 안녕 안녕 달빛 아래 입술 안녕 베개 흔적 미련 사진 야다 미팅 소개팅 재부팅 삭제 가슴 머리 소리 아침 지다 입술 깨무 술김 억지로 수면제 자존심 안녕 안녕 반짝 눈동자 그대 그대 눈동자 사랑 안녕 안녕 달빛 아래 입술 그대 그대 입술 기분 기분 목숨 바치 사치 고다 닥치고 아디오스 안녕 안녕 반짝 눈동자 그대 그대 눈동자 사랑 안녕 안녕 달빛 아래 입술 안녕,seongbala woman fire okay thought crazy tired miss hate cool thank honey night piece busy stop thing mean stop hiding sigh crazy precious person moonlight pillow trace feeling picture ease everything report blind date delete everything mean heart head morning night sleep drunk alcohol sleeping pill stayed night break pride precious person moonlight miss dirty miss dizzy dirty life life luxury shut ladies precious person moonlight good night
기분 지난날 하늘 위로 사랑 서로 사랑 대의 미소 난온 종일 눈치 가슴 그대 얼굴 분명 사랑 신호 기분 지난 하늘 위로 사랑 서로 사랑 세상 꿈속 사랑 사랑 기억 서로 기도 기도 기분 지난 하늘 위로 사랑 서로 사랑 사랑 기억 서로 기도,heart high high feeling high high past high high love high high love moment first time everything moment smile ease guess notice heart face sign heart high high feeling high high past high high love high high love guess everything world beautiful happy dream love love thank painful memory smile look pray happy pray feel lonely heart high high feeling high high past high high love high high love love thank painful memory smile look happy pray
하루하루 눈물 가슴 모습 주어 사랑 상처 모습 눈속 자꾸만 굿바이 데이 사랑 추억 굿바이 데이 사랑 가슴 벌써 게로 얼굴 눈속 자꾸만 굿바이 데이 사랑 추억 굿바이 데이 사랑 라그 가슴 사랑 그대 눈물 굿바이 데이 사랑 추억 사랑 이별,everyday tear image heart heart lack hurt heart bigger bigger bigger ease much fingers good love spent everything good time guilty beloved heart beat heart miss face head good love spent everything good time guilty enough love love cover guilty good love spent everything goodby
베일 도나 경계 보석 주위 매력 베일 도나 미지 세계 아침 계속 진가 베일 도나 소원 하늘 아래 베일 도나 대의 도나 나숨 베일 도나,everyday tear image heart heart lack hurt heart bigger bigger bigger ease much fingers good love spent everything good time guilty beloved heart beat heart miss face head good love spent everything good time guilty enough love love cover guilty good love spent everything goodby
사랑 이야기 눈물 사랑 이야기 바랬어너 모양 끝내 이별 눈물 이상은 빗물 오늘 눈물 가슴 사랑 자리 사랑 이야기 눈물 사랑 이야기 며칠 그대 곳내겐 마지막 모습 사랑 처음 가슴 가슴 바람 오늘 눈물 가슴 사랑 자리 사랑 이야기 눈물 사랑 이야기 우린 사랑 자막 사랑 이야기 사랑 이야기 눈물 사랑 이야기 이야기,much story left story mouth wash rainwater today heart love seat empty story left story many star last scene first time life much heart cold wind blow empty heart time love story today heart leave seat empty story left story happy caution mark story story left love story
오우 우린 야경 네나 샴페인 카페인 그대 감고 시작 오늘 영영 정녕 전화 엄마 친구 배터리 전화기 세상 간섭 아무 상관 기적 아가씨 사랑 역사 감성 충만 감정 한번 전화 엄마 친구 배터리 전화기 세상 간섭 아무 상관 세상 간섭 아무 상관,night view champagne wake caffein night beautiful night home baby time home goodby tonight late friend house battery phone everybody interfere world care anything hesitation baby baby baby beautiful night beautiful night point wonder pretty selfish girl anything love little history place deep night sentimental night night full emotion call late friend house battery phone everybody interfere world care anything hesitation baby baby baby beautiful night beautiful night everybody everybody interfere world care anything hesitation baby baby baby beautiful night
아주 얘기 말너 청개구리 나야 우물 개구리 도나 나야 나야 청개구리 청개구리 말너 걱정 제발 걱정 청개구리 제아 무리 나야 우물 개구리 나야 나야 청개구리 청개구리 개굴개굴 개구리 고래고래 고래 개굴 개구리 마리 노래 짓넌 어쩜 무관심 상심 따윈 해난 돌아이 시선 따윈 방식 걸날 청개구리 제아 무리 나야 우물 개구리 도나 나야 나야 청개구리,young young word heard life want life care green frog matter anyone happy green frog green right someone someone right insists word life want life green frog someone matter happy green frog green frog frog frog shout loud green frog breathe something disappointed indifference what care look crazy guess someone green frog matter much anyone happy green frog wrong different problem problem
말썽 칭찬 점점 온갖 재주 머리 사랑 독해 원래 독해 오냐 오냐 어사 사랑 결말 말투 터프 거짓말 얼굴 손바닥 어리광 피우지 온갖 재주 머리 사랑 독해 원래 독해 오냐 오냐 어날 거지 드라마 거지 드라마 드라마 드라마 주인 밀리 아주 지난 대내 살얼음 주인 물어 사랑 독해 원래 독해 오냐 오냐 어너 오냐 어날 거지 드라마 거지 드라마 드라마 드라마,listens good good everything trouble compliment climb nice kind course mamma trick moment love strong strong girl good crazy obvious love rough speaking cool tough everything face change palm play fool baby nice kind course mamma trick moment love strong strong girl good please mamma terrible drama terrible drama drama drama hate game treat queen become owner young young bah bah bah blahoh mamma mamma great framepuzzle think puberty childish stop barking thin foot nice bite owner strong strong girl good feel sorry trust feel heart good please mamma terrible drama lift please mamma terrible drama drama drama
오늘 가요 모습 요즘 자꾸 자꾸 거울 오늘 바보 잡고 이름 목소리 입술 기분 이름 아목 남자 자꾸 얼굴 남자친구 자꾸 자꾸 자꾸 자꾸만 자꾸만 산책 갈래 소풍 잡고 이름 목소리 입술 기분 이름 아목 잡고 이름 목소리 입술 기분 이름 아목,look today mirror nice girl today heart nervous look fool cheek hold hand lululala hearing name happy nice hear voice much much little little everything feel good hearing name happy voice good good good good good blunt warm keep face keep keep thinking walk picnic many thing cheek hold hand lululala hearing name happy nice hear voice much much little little everything feel good hearing name happy voice good good good good good cheek hold hand lululala hearing name happy nice hear voice much much little little everything feel good hearing name happy voice good good good good good
그대 그대 대여 대여 대여 오늘 거리 자장 노래 가요 오예 그대 잡고 봄바람 벚꽃 거리 봄바람 벚꽃 거리 오예 대여 거리 마침 사랑 노래 가요 사랑 그대 거리 봄바람 벚꽃 거리 봄바람 벚꽃 거리 바람 불면 기분 바람 불면 저편 대여 모습 자꾸 기분 바람 불면 저편 대여 모습 자꾸 사랑 연인 친구 벚꽃 봄바람 벚꽃 거리 봄바람 벚꽃 거리 대여 그대 대여 대여 그대,walk street today lullaby night hand unknown nervousness spring breeze cherry blossom leaf street resolute spring breeze cherry blossom leaf street resolute dear hold hand hear street love song hand love mysterious distance spring breeze cherry blossom leaf street resolute spring breeze cherry blossom leaf street resolute caseous blow wind blow appearance nausea blow appearance many blossom leaf love spring breeze cherry blossom leaf street resolute spring breeze cherry blossom leaf street resolute walk
바보 점점 그리움 오늘 고해 도대체 애시 모습 매일 알리 매일 오늘 방안 하루 종일 눈물 거짓말 사랑 바보 진짜 바라지 매일 알리 매일,gutta been who who who who who who hear heart pretend idiot fallen deeper longing girl today everyone crazy tell forgetting think tired time pass everyday heart feel frustrated heart who who who who who who today room long everything love fool happy word expect happy meet guess different dead heart feel frustrated heart who who who who who who please give chance make right song
사랑 먼저 어기 라차 어기 다잊어 이별 가슴 무릎 장작 슬픔 에타 다식 마음 매일 사랑 먼저 어기 라차 어기 거리 본능 대한 집착 사랑 난또 도저히 오늘 뭔가 홀린 눈가 맺힌 절대 가슴 별거 사랑 하련 다미 안해,sorry strong good fold heart love protect forget forget word breakup knee heart sorrow drag burnt cold heart heart heart flutter wander walk stronger diyeoracha smile protect forget close distance hold hand bill strong heart instinct possession help today something sorry girl change mind okay deal heart torn feel know thing bent hurt sorry want good fold heart
,love love love love likemoney listen heart screaming trying show touch girl moreprecious pearlsand deserve baby donna baby everything heart treasure teach love love money love babe babe love love babe babe love money love babe babe diamond treat star babe love babe stop friend misery little company feed side hard trust fear girl promise girl heart beat care care girl money love babe babe love love babe babe love money love babe babe diamond treat star babe love babe tiresome thing little rain heart thou pain thou letting front plan instruction teach love love dollar bill brand love fresh hair love pair kick risk love love money love babe babe love love babe babe love money love babe babe diamond treat star babe love babe love babe babe wherever babe love babe love babe
먼저 먼저 먼저 먼저 먼저 먼저 저녁 고개 피하 한숨 상상 수도 얘길 먼저 먼저 먼저 먼저 헤어지자 먼저 먼저 먼저 먼저 에먼 자존심 본심 눈물 표정 눈물 연기 거짓말 먼저 먼저 먼저 먼저 헤어지자 먼저 먼저 먼저 먼저 에먼 제발 달라 살수 먼저 먼저 먼저 먼저 사랑 사랑 먼저 먼저 먼저 먼저 사랑 흔적 곳곳 가슴 아픔 사랑 이나 행복 거짓말 사랑 바보 짓거리 계속,first night head avoid sorry unimaginable sorry hear sorry painful story first break dump first finish first heart explode honest tell everything pride true feeling tears face sorry nice tear sorry first first first break dump first finish please live first first first love fact backbut trace heart ache steal happiness love knew silly thing time
그대 사랑 바보 마주 얘기 안부 가끔 대화 정적 우릴 자리 누군가 눈물 상처 주지 자꾸 눈치 모습 내사 안녕 이별 바보 우린 시작 심장 아픔 가슴 모습 사랑 안녕 이별 바보 머릿속 하루 이틀 아마 기억,much sick sick good minor story moment pause conversation static freeze cold anyone tear tried hurt moment breakup sick sick good sudden reason peace mind wrong place much edge heart pain swollen heart hollow time rumble moment breakup sick sick good good history trail head month year baby forget memory live
심장 심장 하루 종일 눈물 한순간 눈물 오늘 이해 하루 종일 눈물 한순간 눈물 오늘 안되겠니 번만 번만 사랑,heart call think heart ease live long second miss miss miss today live everything long second miss miss miss today much hurt something hear something hear love
